"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Brazil","BRA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","3.05999994277954","2.77999997138977","","","1.91999995708466","2.3199999332428","2.35999989509583","2.75999999046326","","3.99000000953674","4.82999992370605","4.61999988555908","4.03999996185303","3.38000011444092","2.36999988555908","3.55999994277954","3.78999996185303","2.97000002861023","3.69000005722046","","6.42000007629395","6.03000020980835","","5.94999980926514","6.76999998092651","7.67999982833862","8.89999961853027","9.60999965667725","15.2799997329712","9.35000038146973","9.10999965667725","9.72999954223633","8.89000034332275","9.11999988555908","8.39000034332275","8.09000015258789","7.90000009536743","8.27999973297119","6.73999977111816","6.69000005722046","6.15000009536743","6.46999979019165","6.84999990463257","8.4399995803833","11.6099996566772","13.3199996948242",
"Barbados","BRB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","9.85999965667725","12.4499998092651","13.289999961853","9.44999980926514","8.97999954223633","7.23000001907349","8.39000034332275","9.0600004196167","17.0200004577637","18.8500003814697","17.8799991607666","17.9400005340576","17.5699996948242","14.0600004196167","8.15999984741211","7.51999998092651","22.9400005340576","","22.9799995422363","19.6599998474121","14.710000038147","14.6099996566772","","","9.35000038146973","","","11","9.75","9.0600004196167","8.72000026702881","7.44999980926514","8.06999969482422","10.0200004577637","10.6899995803833","11.1400003433228","11.5799999237061","11.5500001907349","12.1700000762939","11.3500003814697","9.72000026702881","",
"Brunei Darussalam","BRN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","8.2519998550415","7.84999990463257","8.0629997253418","8.69600009918213","10.0410003662109","7.66800022125244","7.84200000762939","6.5479998588562","6.03700017929077","","","","","","","","4.69999980926514","","","","","","","","","","","","","","","","","","","","1.72000002861023","","","6.96999979019165","","","",
"Bhutan","BTN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.39999997615814","1.39999997615814","","1.89999997615814","","1.79999995231628","2.49000000953674","3.09999990463257","3.13000011444092","3.70000004768372","","3.96000003814697","3.3199999332428","3.23000001907349","2.04999995231628","2.86999988555908","2.63000011444092","2.45000004768372","","",
"Botswana","BWA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","25.6700000762939","","","","","","13.8199996948242","","","21.2000007629395","","21.5799999237061","","20.8600006103516","","15.8800001144409","18.5400009155273","","23.7999992370605","","","17.7999992370605","","","16.1700000762939","17.8600006103516","","","","","","","",
"Central African Republic","CAF","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","4.69999980926514","5.90000009536743","6.40000009536743","6.30000019073486","5.59999990463257","5.40000009536743","6.90000009536743","7.09000015258789","8.05000019073486","8.38000011444092","7.53000020980835","7.53999996185303","7.6100001335144","11.039999961853","12.0200004577637","11.3400001525879","10.5","9.59000015258789","8.81999969482422","7.76000022888184","7.55000019073486","8.13000011444092","10.3199996948242","11.1999998092651","11.3800001144409","10.3999996185303","9.48999977111816","9.61999988555908","9.10000038146973","8.27999973297119","7.57999992370605","6.82999992370605","7.21999979019165","7.65999984741211","7.57000017166138","7.19000005722046","6.76000022888184","6.32000017166138","6.03999996185303","6.1399998664856","8.34000015258789","8.0600004196167","7.51000022888184","7.28999996185303","7.07000017166138","6.90999984741211","6.90999984741211","7","6.34000015258789",
"Central Europe and the Baltics","CEB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.44287507215704","7.53909555893036","10.2189477614938","11.4509578291089","11.235234857885","10.599893513204","10.0684255205306","9.14862899308888","8.95678020455811","10.3961972126042","12.4611061603442","13.2405659194459","13.803278664782","12.9891503053939","12.9272798539958","12.0581702682286","10.1026156458421","7.8106002998841","6.60828350687162","8.49048267358609","9.90308055135096","9.78969969493241","9.97786584781217","10.0482242216558","8.95166218325513","7.82171279572544","6.48679142725377","",
"Switzerland","CHE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","0.300000011920929","0.699999988079071","0.400000005960464","0.400000005960464","0.400000005960464","0.200000002980232","0.200000002980232","0.400000005960464","0.899999976158142","1.10000002384186","1","0.800000011920929","0.800000011920929","0.699999988079071","0.600000023841858","2.0699999332428","1.77999997138977","2.80999994277954","3.72000002861023","3.88000011444092","3.32999992370605","3.69000005722046","4.11999988555908","3.5699999332428","3.04999995231628","2.66000008583069","2.49000000953674","2.92000007629395","4.11999988555908","4.32000017166138","4.44000005722046","4","3.65000009536743","3.34999990463257","4.11999988555908","4.80999994277954","4.40999984741211","4.48000001907349","4.75","4.82999992370605","4.80000019073486","4.92000007629395","4.80000019073486",
"Channel Islands","CHI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","14.6899995803833","12.75","11.8299999237061","14.2600002288818","13.6300001144409","10.460000038147","11.3500003814697","19.6000003814697","14.6499996185303","13.9099998474121","","8.71000003814697","","6.23000001907349","5.28999996185303","5.63000011444092","5.23000001907349","4.34999990463257","4.48999977111816","5.86999988555908","4.69999980926514","7.40999984741211","7.1399998664856","7.30999994277954","11.1599998474121","10.4899997711182","10.3900003433228","10.1700000762939","9.77000045776367","10.1599998474121","9.34000015258789","9.02000045776367","8.43000030517578","9.27999973297119","11.3100004196167","8.42000007629395","7.34000015258789","6.65999984741211","6.21000003814697","6.65999984741211","6.51000022888184","6.73999977111816","6.96000003814697",
"China","CHN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","5.30000019073486","5.40000009536743","4.90000009536743","3.79999995231628","3.20000004768372","2.29999995231628","1.89999997615814","1.79999995231628","2","2","2","2.59999990463257","2.5","2.29999995231628","2.29999995231628","2.59999990463257","2.79999995231628","2.90000009536743","3","3.09999990463257","3.09999990463257","3.09999990463257","3.09999990463257","3.59999990463257","4","4.30000019073486","4.19999980926514","4.19999980926514","4.09999990463257","4","4.19999980926514","4.30000019073486","4.09999990463257","4.09999990463257","4.09999990463257","4.05000019073486","4.09999990463257","","","",
"Cote d'Ivoire","CIV","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.6000003814697","","","","","","","","","","","","","","7.21999979019165","4.25","","","2.59999990463257","",
"Cameroon","CMR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0600004196167","","","","","7.46000003814697","","","","4.40000009536743","","3.05999994277954","","","4.1100001335144","","","","4.32000017166138","","","",
"Congo, Dem. Rep.","COD","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6800000667572","","","","","","","4.48999977111816","","","","","",
"Congo, Rep.","COG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7999992370605","","","","16.1000003814697","","","10","","","","","",
"Colombia","COL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","10.5500001907349","","9.39999961853027","","","9.10000038146973","8.13000011444092","11.460000038147","11.1300001144409","13","13.8900003433228","12.9399995803833","10.8299999237061","","","","10.1199998855591","9.4399995803833","7.80000019073486","8.25","","11.8100004196167","","","","20.5200004577637","15.039999961853","15.6300001144409","14.1899995803833","13.7200002670288","11.8699998855591","12.039999961853","11.1999998092651","11.2700004577637","12.0699996948242","11.0100002288818","10.1300001144409","9.77999973297119","9.0600004196167","8.57999992370605","8.35000038146973","8.67000007629395","",
"Comoros","COM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9500007629395","","","","","","","","","","","","","4.57000017166138","","","","","","","","","","","","","",
"Cabo Verde","CPV","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","","10.6700000762939","","","","","","","",
"Costa Rica","CRI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","6.28999996185303","4.59999990463257","4.55000019073486","4.88000011444092","","8.69999980926514","9.36999988555908","9.02999973297119","5.30999994277954","6.6100001335144","6.05000019073486","5.34999990463257","5.28999996185303","3.63000011444092","4.51000022888184","5.36999988555908","3.9300000667572","3.95000004768372","4.03999996185303","5.17999982833862","6.15999984741211","5.67999982833862","5.32999992370605","5.8899998664856","5.07999992370605","5.90999984741211","6.32999992370605","6.55999994277954","6.3899998664856","6.57000017166138","5.73999977111816","4.48999977111816","4.78000020980835","7.71000003814697","8.92000007629395","10.1400003433228","9.77999973297119","8.77000045776367","9.0600004196167","9","8.60000038146973","8.14000034332275",
"Caribbean small states","CSS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6653778434527","15.0491047592467","17.0138975379922","","16.4227454240497","","","","14.4147510952068","","","","12.6507335893528","11.6172648257772","10.5982597340057","10.3810352533997","9.07641933120967","8.43526883217264","8.51020646638541","9.92092377099529","10.5042953916327","10.2383447591852","11.1450012305198","11.6084867880949","10.0216669366724","10.3071685825176","10.2780926031086","",
"Cuba","CUB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.27000045776367","7.6100001335144","7.09999990463257","6.23000001907349","6.26000022888184","5.44999980926514","4.07999992370605","3.30999994277954","2.32999992370605","","1.95000004768372","","","","1.66999995708466","2.5","3.1800000667572","3.46000003814697","3.28999996185303","2.70000004768372","","","",
"Curacao","CUW","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.77999973297119","","13.0299997329712","12.6099996566772","11.710000038147","","",
"Cayman Islands","CYM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.90999984741211","","7.21999979019165","5.73999977111816","4.94000005722046","5.09999990463257","4.1399998664856","4.17000007629395","","","7.53999996185303","5.36999988555908","3.60999989509583","3.45000004768372","3.53999996185303","2.61999988555908","3.82999992370605","3.97000002861023","6.03999996185303","6.67999982833862","6.78000020980835","6.21000003814697","6.26999998092651","4.69999980926514","4.23999977111816","","",
"Cyprus","CYP","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","10.8999996185303","7.40000009536743","3.09999990463257","2","1.70000004768372","2","2.59999990463257","2.79999995231628","3.29999995231628","3.29999995231628","3.29999995231628","3.70000004768372","3.40000009536743","2.79999995231628","2.29999995231628","1.79999995231628","3","2.08999991416931","2.70000004768372","2.70000004768372","2.59999990463257","3.09999990463257","3.40000009536743","3.29999995231628","","4.96999979019165","3.98000001907349","3.29999995231628","4.1399998664856","4.73999977111816","5.30000019073486","4.53999996185303","3.92000007629395","3.65000009536743","5.3600001335144","6.26000022888184","7.8600001335144","11.8000001907349","15.8699998855591","16.0900001525879","14.9099998474121","12.9499998092651","",
"Czech Republic","CZE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.699999988079071","2.26999998092651","2.59999990463257","4.32000017166138","4.30000019073486","4.01999998092651","3.89000010490417","4.26999998092651","5.90000009536743","8.48999977111816","8.76000022888184","7.98999977111816","7.01999998092651","7.53999996185303","8.21000003814697","7.92999982833862","7.15000009536743","5.32000017166138","4.3899998664856","6.65999984741211","7.28000020980835","6.71000003814697","6.98000001907349","6.94999980926514","6.1100001335144","5.05000019073486","3.95000004768372","",
"Germany","DEU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","6.44999980926514","6.67000007629395","6.86999988555908","6.6100001335144","6.82000017166138","6.32000017166138","5.71000003814697","4.8899998664856","5.32000017166138","6.32000017166138","7.67999982833862","8.72999954223633","8.15999984741211","8.81999969482422","9.85999965667725","9.78999996185303","8.85999965667725","7.92000007629395","7.76999998092651","8.47999954223633","9.77999973297119","10.7299995422363","11.1700000762939","10.25","8.65999984741211","7.51999998092651","7.73999977111816","6.96999979019165","5.82000017166138","5.38000011444092","5.23000001907349","4.98000001907349","4.61999988555908","4.11999988555908","",
"Djibouti","DJI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.5","","","","","58.5","","","","","","59.5","","","","","","","","","","","","","","","",
"Dominica","DMA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3299999237061","","9.52999973297119","","","","","","23.1800003051758","","15.6700000762939","","10.960000038147","","","","","","","","","","","","","","","","",
